Evolution de la population active en chomage,Gouvernorat de Tunis,Gouvernorat de Sfax,Gouvernorat de Ben Arous,Gouvernorat de Nabeul,Gouvernorat de Jendouba,Gouvernorat de Sousse,Gouvernorat de Bizerte,Gouvernorat de L'Ariana,Gouvernorat de Kasserine,Gouvernorat de Manouba,Gouvernorat de Mahdia,Gouvernorat de Medenine,Gouvernorat de Kairouan,Gouvernorat de Monastir,Gouvernorat de Gab�s,Gouvernorat de Gafsa,Gouvernorat du Kef,Gouvernorat de B�ja,Gouvernorat de Siliana,Gouvernorat de Sidi Bouzid,Gouvernorat de Tozeur,Gouvernorat de K�bili,Gouvernorat de Tataouine,Gouvernorat de Zaghouan,
2007,44,31,28,25,25,24,22,22,22,20,19,17,16,16,16,16,14,13,11,10,8,6,5,5,
2008,48,34,26,23,25,34,16,20,29,19,16,16,14,16,16,22,11,19,11,8,9,5,7,4,
2009,40,39,28,33,28,33,26,21,23,21,19,16,18,17,19,22,12,17,14,14,7,7,10,6,
2010,53,27,26,36,23,29,27,21,26,21,15,19,19,11,20,30,13,12,13,22,6,8,9,4,
2012,82,40,44,44,23,39,27,29,33,39,25,31,28,11,28,31,13,22,12,39,11,11,22,6,
2013,73,40,40,33,25,36,23,26,28,27,21,32,34,16,26,27,11,23,16,31,9,11,16,5,
2014,57,40,32,33,30,27,29,26,29,25,15,22,27,19,22,29,16,18,12,25,6,11,11,11,
2015,82,31,50,35,22,25,20,30,27,33,16,30,29,13,29,30,9,19,13,19,8,12,14,8,
2016,90,35,48,35,24,29,22,29,28,33,18,33,27,15,29,31,10,21,13,18,8,14,15,7,
